# evidence: frozen_slice_stability
# what: frozen-slice metric set run twice with live ingest in between; identical means the isolation predicate holds
# run_utc: 2026-08-01 13:38:59
# git: 97f13f1-dirty
# host: ss-cric
# row_count: 960851
# event_watermark: 2026-08-01 13:20:21.559
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 13:39:00   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
metric	value
frozen_before	2026-08-01
settle_seconds	60
raw_events_before	960851
raw_events_after	960851
rows_ingested_between_runs	0
metrics_compared	30
differing_lines	0
verdict	PASS_BUT_INGEST_IDLE
#
# run 1 payload, verbatim:
# deltas.concurrency_deltas.minutes	1532
# deltas.user_concurrency_deltas.minutes	1486
# invariant.closure.session_deltas	0
# invariant.closure.user_deltas	0
# invariant.intervals_inverted	0
# invariant.runs_inverted	0
# rows.foreground_intervals	599137
# rows.raw_events	905558
# runs.session_minute_runs.asserted	17604
# runs.user_minute_runs.asserted	16600
# serving.avg_active_minutes	36.63
# serving.avg_all_minutes	7.88
# serving.min_concurrency	0
# serving.minutes_in_span	17029
# serving.minutes_with_audience	3664
# serving.peak_concurrency	2829
# serving.peak_minute	2026-07-26 10:56:00
# serving.user_avg_active_minutes	35.59
# serving.user_avg_all_minutes	7.66
# serving.user_min_concurrency	0
# serving.user_minutes_with_audience	3664
# serving.user_peak_concurrency	2749
# serving.user_peak_minute	2026-07-26 10:56:00
# span.first_event	2026-07-14 15:43:58.144
# span.last_event	2026-07-26 11:30:04.847
# uniq.contents	3357
# uniq.event	47
# uniq.event_type	7
# uniq.sessions	10866
# uniq.users	9618
