# evidence: seeding_position
# what: read volume against window position and window width, three windows, two of them sharing an upper bound
# run_utc: 2026-08-01 16:36:36
# git: 2b1442f-dirty
# host: ss-cric
# row_count: 1946645
# event_watermark: 2026-08-01 16:36:34.093
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 16:36:36   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
window	from_ts	to_ts	width_minutes	read_rows	read_bytes	query_ms
start_1h	2026-07-14 15:43:00	2026-07-14 16:43:00	60	30662	155416	9
end_1h	2026-07-26 10:31:00	2026-07-26 11:31:00	60	30662	245296	9
whole_corpus	2026-07-14 15:43:00	2026-07-26 11:31:00	17028	30662	245296	487
#
#	corpus_first_minute	2026-07-14 15:43:00
#	corpus_last_minute	2026-07-26 11:31:00
#	query	sql/queries/serving/concurrency_curve.sql
#
#	the property under test: read volume tracks the POSITION of to_ts, not the WIDTH of the window.
#	start_1h and end_1h have the SAME width and different upper bounds: reads must differ.
#	end_1h and whole_corpus have the SAME upper bound and widths 60 and ~17000 minutes:
#	reads must be roughly equal. That pair is what the old test measured, and why it
#	concluded "nothing prunes" from what was actually a shared upper bound.
