claim_id	claim	command_or_script	artifact_path	status	fail_kind	verified_at_sha	verified_at_utc
adpause_impact	oracle with AdPause/AdResume classified vs neutral, tolerance_s=90	measure_divergence.sh	evidence/adpause_impact__20260801T123609Z__c228db4-dirty.tsv	RECORDED		c228db4-dirty	2026-08-01 12:36:09
ingested_at_nondeterminism	ingested_at is re-evaluated at read time for pre-ALTER parts, so a watermark filter erases the validated dataset	prove_ingested_at.sh	evidence/ingested_at_nondeterminism__20260801T130349Z__ed4042c-dirty.tsv	RECORDED		ed4042c-dirty	2026-08-01 13:03:49
naive_baseline_gate	range/balance gate before the naive-vs-corrected comparison	naive_baseline.sh	evidence/naive_baseline_gate__20260801T125000Z__1acb1f0-dirty.tsv	FAIL	finding	1acb1f0-dirty	2026-08-01 12:50:00
naive_vs_foreground	naive session-span vs foreground-only oracle, tolerance_s=90	measure_divergence.sh	evidence/naive_vs_foreground__20260801T123608Z__c228db4-dirty.tsv	RECORDED		c228db4-dirty	2026-08-01 12:36:08
open_sessions	incremental absorption of open sessions vs one-pass batch truth	test_open_sessions.sh	evidence/open_sessions__20260801T124121Z__c228db4-dirty.tsv	PASS		c228db4-dirty	2026-08-01 12:41:21
ingest_probe	is the live stream moving, and does its event_timestamp carry source event time or wall-clock arrival time	ingest_probe.sh	evidence/ingest_probe__20260801T134402Z__97f13f1-dirty.tsv	RECORDED		97f13f1-dirty	2026-08-01 13:44:02
naive_baseline	naive session-span vs foreground-only, same minute rule, densified, clipped to the overlapping range	naive_baseline.sh	evidence/naive_baseline__20260801T141518Z__e528698-dirty.tsv	PASS		e528698-dirty	2026-08-01 14:15:18
lazy_materialization	does query_plan_optimize_lazy_materialization engage on our access patterns, and what does it save	evidence.sh	evidence/lazy_materialization__20260801T142108Z__a5bca8c-dirty.tsv	RECORDED		a5bca8c-dirty	2026-08-01 14:21:08
open_session_update	curve at T, events arrive, curve at T+1, and the diff attributed to exactly the sessions that received events	open_session_demo.sh	evidence/open_session_update__20260801T143119Z__a822ff6-dirty.tsv	PASS		a822ff6-dirty	2026-08-01 14:31:19
derive_idempotence	running the batch derive twice: it doubles concurrency, and which invariants do and do not catch it	evidence.sh	evidence/derive_idempotence__20260801T143338Z__f9bfa0e-dirty.tsv	FAIL	finding	f9bfa0e-dirty	2026-08-01 14:33:38
derive_phoenix_scratch_rehearsal	guarded batch derivation into phoenix_scratch_rehearsal, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_scratch_rehearsal__20260801T143431Z__f9bfa0e-dirty.tsv	PASS		f9bfa0e-dirty	2026-08-01 14:34:31
key_order_candidates	granules read per filter shape for three candidate ORDER BY keys, measured on identical data	key_order_experiment.sh	evidence/key_order_candidates__20260801T143931Z__33cc777-dirty.tsv	RECORDED		33cc777-dirty	2026-08-01 14:39:31
clickhouse_rules_audit	phoenix schema and serving design audited against the 31 ClickHouse best-practice rules, with the key-order deviation measured rather than assumed	evidence.sh	evidence/clickhouse_rules_audit__20260801T144112Z__33cc777-dirty.tsv	RECORDED		33cc777-dirty	2026-08-01 14:41:12
frozen_slice_stability	frozen-slice metric set run twice with live ingest in between; identical means the isolation predicate holds	frozen_gate.sh	evidence/frozen_slice_stability__20260801T154440Z__750aa45-dirty.tsv	PASS		750aa45-dirty	2026-08-01 15:44:40
clickstack_integration	ClickStack/HyperDX provisioned against our ClickHouse Cloud service, with the five panel queries run	evidence.sh	evidence/clickstack_integration__20260801T160716Z__d2b6c86-dirty.tsv	PASS		d2b6c86-dirty	2026-08-01 16:07:16
rebuild_swap_phoenix_next	full rebuild into a shadow database with the end-bound rule, verified on the shadow deltas before any swap	rebuild_swap.sh	evidence/rebuild_swap_phoenix_next__20260801T161700Z__561ab5b-dirty.tsv	PASS		561ab5b-dirty	2026-08-01 16:17:00
derive_phoenix_idem_a	guarded batch derivation into phoenix_idem_a, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_idem_a__20260801T161928Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:28
rebuild_swap_phoenix_idem_a	full rebuild into a shadow database with the end-bound rule, verified on the shadow deltas before any swap	rebuild_swap.sh	evidence/rebuild_swap_phoenix_idem_a__20260801T161930Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:30
derive_phoenix_idem_b	guarded batch derivation into phoenix_idem_b, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_idem_b__20260801T161938Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:38
